question_label,Combine into a single objective,Keep objectives separate,Ecological Function,No,Yes,No - meaningfully different,Yes - duplicative,Retain Minimize River Drying,Retain minimize TMDL
Decision 1: Should ecological function and cultural flows be combined?,5 (41.7%),7 (58.3%),NA,NA,NA,NA,NA,NA,NA
"Decision 2: If kept separate, which objective should include river drying?",NA,NA,12 (100.0%),NA,NA,NA,NA,NA,NA
Decision 3: Is TMDL a reasonable proxy for cultural flows?,NA,NA,NA,5 (41.7%),7 (58.3%),NA,NA,NA,NA
Decision 4: Are TMDL and river drying duplicative?,NA,NA,NA,NA,NA,9 (75.0%),3 (25.0%),NA,NA
"Decision 5: If one should be retained, which should remain?",NA,NA,NA,NA,NA,NA,NA,8 (88.9%),1 (11.1%)
